CUST_ID,REGISTRATION,AGE,GENDER,MARITAL_STATUS,PROFESSION,EDUCATION,INCOME,MEMBERS_IN_HOUSEHOLD,PRODUCT_BROWSED_TOTAL,PRODUCT_BROWSED_AVERAGE,PRODUCT_PURCHASED_TOTAL,PRODUCT_PURCHASED_AVERAGE,ITEMS_PLACED_IN_CART_TOTAL,ITEMS_PLACED_IN_CART_AVERAGE,ONSITE_SEARCHES_TOTAL,ONSITE_SEARCHES_AVERAGE,PAGE_VIEWS_TOTAL,PAGE_VIEWS_AVERAGE,AMOUNT_BROWSED_TOTAL,AMOUNT_BROWSED_AVERAGE,AMOUNT_CARTED_TOTAL,AMOUNT_CARTED_AVERAGE,AMOUNT_PURCHASED_TOTAL,AMOUNT_PURCHASED_AVERAGE,AMOUNT_ABANDONED_TOTAL,AMOUNT_ABANDONED_AVERAGE,NUMBER_OF_ACTIVITIES_TOTAL,NUMBER_OF_ACTIVITIES_AVERAGE,NUMBER_OF_SESSIONS,BUYER_CATEGORY,LTV,DEMOGRAPHIC_CLUSTER,ONLINE_BEHAVIOR_CLUSTER,BUYING_BEHAVIOR_CLUSTER,MBA_Browse_1,MBA_Browse_2,MBA_Browse_3,Purchase_MBA_1,Purchase_MBA_2,Purchase_MBA_3,Instore_MBA_1,Instore_MBA_2,Instore_MBA_3,Line_Purchased,Line_Browsed,Line_Search,Line_PageView,Line_Affinity,$L-Line_Affinity,$LP-Line_Affinity,$LP-Big Screen TV,$LP-Computers,$LP-MP3,$LP-Receivers,$LP-Smart Phone,$LP-Speakers,$LP-Standard TV,PURCHASED_AE683260224O,PURCHASED_AE683260524O,PURCHASED_AE683260724O,PURCHASED_AE683260824O,PURCHASED_AE683666822O,PURCHASED_AE683666823O,PURCHASED_AE683666824O,PURCHASED_AE683667024O,PURCHASED_AE683668024O,PURCHASED_AE683769624O,PURCHASED_AE683769824O,PURCHASED_AE744080224O,PURCHASED_AE744080324O,PURCHASED_AE744080422O,PURCHASED_AE744080522O,PURCHASED_AE744870124O,PURCHASED_AE744870324O,PURCHASED_AE744870424O,PURCHASED_AE744870524O,PURCHASED_AE745285622O,PURCHASED_AE745285722O,PURCHASED_AE745285822O,PURCHASED_AE745285922O,PURCHASED_AE745286022O,PURCHASED_AE745486322O,PURCHASED_AE745486422O,PURCHASED_AE745486524O,PURCHASED_AE745486622O,PURCHASED_AE745486724O,PURCHASED_AE745486822O,BROWSED_AE683260224O,BROWSED_AE683260524O,BROWSED_AE683260724O,BROWSED_AE683260824O,BROWSED_AE683666822O,BROWSED_AE683666823O,BROWSED_AE683666824O,BROWSED_AE683667024O,BROWSED_AE683668024O,BROWSED_AE683769624O,BROWSED_AE683769824O,BROWSED_AE744080224O,BROWSED_AE744080324O,BROWSED_AE744080422O,BROWSED_AE744080522O,BROWSED_AE744870124O,BROWSED_AE744870324O,BROWSED_AE744870424O,BROWSED_AE744870524O,BROWSED_AE745285622O,BROWSED_AE745285722O,BROWSED_AE745285822O,BROWSED_AE745285922O,BROWSED_AE745286022O,BROWSED_AE745486322O,BROWSED_AE745486422O,BROWSED_AE745486524O,BROWSED_AE745486622O,BROWSED_AE745486724O,BROWSED_AE745486822O
"8.000000","1908835",55,"F","M","Engineer","College",50137,3,1,0.333333,0,0.000000,0,0.000000,2,0.666667,9,3.000000,299,299.000000,0,0.000000,0,0.000000,0,0.000000,22,7.333333,3,"Product Viewer","MEDIUM VALUE","MARRIED WOMEN","PRODUCT VIEWER","INSTORE MEDIUM VALUE OFFER SEEKER","Standard TV","MP3","Computers","No Offer","No Offer","No Offer","MP3","Receivers","Computers","Speakers","Receivers","Computers","Receivers","Speakers","Speakers",0.884767,0.025736,0.005073,0.012375,0.021530,0.006546,0.884767,0.043973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"9.000000","2228675",41,"F","M","Professor","Post College",91048,2,2,0.666667,0,0.000000,0,0.000000,2,0.666667,11,3.666667,898,898.000000,0,0.000000,0,0.000000,0,0.000000,23,7.666667,3,"Product Viewer","HIGH VALUE","HIGH INCOME FAMILY","PRODUCT VIEWER","INSTORE HIGH VALUE NON OFFER SEEKER","Standard TV","Computers","Receivers","No Offer","No Offer","No Offer","Receivers","Speakers","Smart Phone","MP3","MP3","Smart Phone","Receivers","MP3","MP3",0.785339,0.033245,0.122552,0.785339,0.013636,0.003295,0.026967,0.014966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.000000","3394840",47,"M","S","Financial analyst","College",78746,1,2,1.000000,0,0.000000,0,0.000000,2,1.000000,7,3.500000,878,439.000000,0,0.000000,0,0.000000,0,0.000000,13,6.500000,2,"Product Viewer","MEDIUM VALUE","MIDDLE INCOME SINGLE","PRODUCT VIEWER","INSTORE MEDIUM VALUE OFFER SEEKER","Computers","Big Screen TV","MP3","No Offer","No Offer","No Offer","Speakers","Receivers","Big Screen TV","Smart Phone","Speakers","Computers","Standard TV","Smart Phone","Computers",0.645616,0.005714,0.645616,0.071815,0.015318,0.009550,0.225594,0.026394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"11.000000","3544112",26,"F","S","Private Sector","High School",18177,1,2,1.000000,0,0.000000,3,1.500000,0,0.000000,19,9.500000,828,414.000000,2147,1073.500000,0,0.000000,2147,1073.500000,45,22.500000,2,"Product Viewer","MEDIUM VALUE","MIDDLE INCOME SCHOOL EDUCATED","PROBABLE BUYER","INSTORE MEDIUM VALUE OFFER SEEKER","Computers","Big Screen TV","MP3","3204","No Offer","No Offer","Receivers","Speakers","Computers","MP3","Speakers","Computers","Speakers","MP3","MP3",0.837555,0.018947,0.012555,0.837555,0.013520,0.009281,0.056448,0.051694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"12.000000","4209640",30,"F","U","Not employed","Post College",61697,2,2,0.666667,0,0.000000,0,0.000000,1,0.333333,10,3.333333,1698,849.000000,0,0.000000,0,0.000000,0,0.000000,25,8.333333,3,"Product Viewer","LOW VALUE","MARRIED WOMEN","PRODUCT VIEWER","INSTORE MEDIUM VALUE OFFER SEEKER","Speakers","MP3","Computers","No Offer","No Offer","No Offer","No Offer","No Offer","No Offer","Computers","Big Screen TV","Computers","Big Screen TV","Big Screen TV","Standard TV",0.514028,0.090983,0.088796,0.060569,0.127981,0.016613,0.101030,0.514028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"13.000000","4245037",32,"M","U","Engineer","Post College",51973,2,6,2.000000,2,0.666667,3,1.000000,0,0.000000,34,11.333333,2364,1182.000000,2497,1248.500000,1898,949.000000,2497,832.333333,80,26.666667,3,"Repeat Buyer","MEDIUM VALUE","MARRIED MEN","REPEAT BUYER","ONLINE HIGH VALUE OFFER SEEKER","Standard TV","MP3","Speakers","3180","MP3","Receivers","Receivers","Speakers","Computers","MP3","Computers","Computers","Receivers","MP3","MP3",0.699690,0.030860,0.049786,0.699690,0.010450,0.009455,0.196020,0.003740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"14.000000","4299604",24,"F","M","Accountant","College",53172,2,11,1.571429,0,0.000000,2,0.285714,3,0.428571,51,7.285714,5186,864.333333,553,92.166667,0,0.000000,553,79.000000,113,16.142857,7,"Product Viewer","HIGH VALUE","MARRIED WOMEN","PRODUCT VIEWER","INSTORE MEDIUM VALUE OFFER SEEKER","Big Screen TV","No Offer","No Offer","3187","No Offer","No Offer","Receivers","Speakers","Computers","MP3","MP3","Big Screen TV","Speakers","MP3","MP3",0.881256,0.009089,0.015162,0.881256,0.030887,0.031918,0.012368,0.019320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
"15.000000","6509257",64,"F","M","Professor","College",95593,2,6,2.000000,0,0.000000,3,1.000000,3,1.000000,36,12.000000,4014,1338.000000,2347,782.333333,0,0.000000,2347,782.333333,80,26.666667,3,"Product Viewer","MEDIUM VALUE","HIGH INCOME FAMILY","PROBABLE BUYER","INSTORE MEDIUM VALUE OFFER SEEKER","Standard TV","MP3","Computers","3206","No Offer","No Offer","MP3","Receivers","Speakers","Computers","Speakers","MP3","Big Screen TV","Computers","Big Screen TV",0.399081,0.399081,0.156268,0.021024,0.027814,0.056406,0.020275,0.319131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0
"16.000000","6765966",25,"M","U","Professor","Post College",40721,2,6,1.000000,1,0.166667,1,0.166667,0,0.000000,38,6.333333,2834,708.500000,699,174.750000,699,174.750000,699,116.500000,80,13.333333,6,"Buyer","MEDIUM VALUE","MARRIED MEN","BUYER","ONLINE HIGH VALUE OFFER SEEKER","Speakers","Big Screen TV","No Offer","Standard TV","Speakers","Computers","MP3","Receivers","Computers","Speakers","Smart Phone","Computers","Receivers","Speakers","Speakers",0.838961,0.032828,0.006112,0.018370,0.009356,0.014621,0.838961,0.079751,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"17.000000","6873460",30,"M","M","Private Sector","High School",20822,4,7,1.000000,0,0.000000,2,0.285714,4,0.571429,44,6.285714,4213,842.600000,878,175.600000,0,0.000000,878,125.428571,82,11.714286,7,"Product Viewer","LOW VALUE","MIDDLE INCOME SCHOOL EDUCATED","PRODUCT VIEWER","INSTORE MEDIUM VALUE OFFER SEEKER","Standard TV","Receivers","No Offer","3187","No Offer","No Offer","No Offer","No Offer","No Offer","Computers","Speakers","Computers","MP3","Speakers","Computers",0.230414,0.094464,0.230414,0.215280,0.150031,0.105907,0.174499,0.029405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"18.000000","7981433",40,"F","M","Doctor","College",71141,3,38,6.333333,9,1.500000,16,2.666667,7,1.166667,371,61.833333,21918,4383.600000,9630,1926.000000,5596,1119.200000,9630,1605.000000,755,125.833333,6,"Repeat Buyer","HIGH VALUE","HIGH INCOME FAMILY","REPEAT BUYER","ONLINE HIGH VALUE OFFER SEEKER","No Offer","No Offer","No Offer","3210","Computers","Smart Phone","MP3","Receivers","Speakers","Big Screen TV","Speakers","MP3","Standard TV","Big Screen TV","Big Screen TV",0.720691,0.720691,0.017469,0.002372,0.005299,0.096746,0.004215,0.153209,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0
"19.000000","9144205",43,"M","M","Self Employed","College",64876,3,3,1.000000,0,0.000000,0,0.000000,1,0.333333,12,4.000000,1577,525.666667,0,0.000000,0,0.000000,0,0.000000,22,7.333333,3,"Product Viewer","LOW VALUE","HIGH INCOME FAMILY","PRODUCT VIEWER","INSTORE LOW VALUE NON OFFER SEEKER","Standard TV","MP3","Big Screen TV","No Offer","No Offer","No Offer","MP3","Receivers","Speakers","Big Screen TV","Computers","MP3","Speakers","Big Screen TV","Smart Phone",0.612710,0.096010,0.147139,0.025752,0.028639,0.612710,0.044843,0.044907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"20.000000","9815948",46,"M","S","Self Employed","Post College",100248,1,3,0.600000,0,0.000000,0,0.000000,2,0.400000,17,3.400000,1387,462.333333,0,0.000000,0,0.000000,0,0.000000,39,7.800000,5,"Product Viewer","HIGH VALUE","HIGH INCOME SINGLE","PRODUCT VIEWER","INSTORE MEDIUM VALUE OFFER SEEKER","Standard TV","Receivers","Speakers","No Offer","No Offer","No Offer","Big Screen TV","Speakers","Computers","Receivers","MP3","MP3","Computers","Receivers","Receivers",0.704680,0.011858,0.046995,0.165411,0.704680,0.019574,0.040750,0.010733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21.000000","10252043",35,"M","S","Doctor","College",43489,1,2,0.500000,0,0.000000,0,0.000000,2,0.500000,14,3.500000,728,364.000000,0,0.000000,0,0.000000,0,0.000000,28,7.000000,4,"Product Viewer","MEDIUM VALUE","MIDDLE INCOME SINGLE","PRODUCT VIEWER","INSTORE LOW VALUE NON OFFER SEEKER","Big Screen TV","Computers","Standard TV","No Offer","No Offer","No Offer","Receivers","Speakers","Computers","MP3","Speakers","Computers","Receivers","MP3","MP3",0.966676,0.001773,0.002342,0.966676,0.005212,0.003073,0.018828,0.002095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"22.000000","11077915",67,"F","M","Scientist","Post College",96476,2,2,0.333333,0,0.000000,0,0.000000,2,0.333333,25,4.166667,548,274.000000,0,0.000000,0,0.000000,0,0.000000,43,7.166667,6,"Product Viewer","LOW VALUE","HIGH INCOME FAMILY","PRODUCT VIEWER","INSTORE LOW VALUE NON OFFER SEEKER","Standard TV","Computers","Speakers","No Offer","No Offer","No Offer","MP3","Receivers","Speakers","Computers","MP3","Computers","Receivers","Computers","Computers",0.254601,0.197571,0.254601,0.123781,0.135377,0.075761,0.047718,0.165191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"23.000000","BEN.ALBA",48,"M","S","Pharmacist","Post College",93796,1,7,0.700000,0,0.000000,3,0.300000,1,0.100000,47,4.700000,4323,617.571429,1797,256.714286,0,0.000000,1797,179.700000,101,10.100000,10,"Product Viewer","LOW VALUE","HIGH INCOME SINGLE","PROBABLE BUYER","INSTORE MEDIUM VALUE OFFER SEEKER","MP3","Smart Phone","No Offer","3187","No Offer","No Offer","No Offer","No Offer","No Offer","Computers","MP3","Big Screen TV","Big Screen TV","MP3","Big Screen TV",0.281511,0.281511,0.099978,0.172749,0.123516,0.012796,0.146635,0.162814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
